Mot1	Mot2	Mot3	Mot4	Mot5	Mot6	Tsample=3ms
-3090	2723	36	-2184	-2121	1195	
-3110	2745	36	-2199	-2303	1195	
-3130	-15665	36	-2212	-2148	1195	
-3150	2789	36	-2226	-2163	1195	
-3174	2815	36	-2243	-15746	1195	
-3200	2844	36	-2260	-2196	1195	
-3220	2866	36	-2274	-2210	1195	
-3242	2891	36	-15858	-2227	1195	
-3267	2918	36	-2306	-2245	1195	
-3290	2943	36	-2322	-2260	1195	
-3302	2958	36	-2331	-2268	1195	
-3302	2958	36	-2331	-2268	1195	
-3302	2958	36	-2331	-2268	1195	
-3302	2958	36	-15643	-2268	1195	
-3302	2958	-15836	-2331	-15836	1195	
-3303	2959	-15836	-2331	-2269	1195	
-3303	2959	36	-2331	-2269	1195	
-3303	2959	36	-2331	-2269	1195	
-3303	2959	1	-2331	-2269	1195	
-3303	2959	36	-2559	-2269	-15701	
-3303	2959	36	-2331	-2269	1195	
-3307	2964	36	-2333	-2272	1195	
-3307	2964	36	-2333	-2272	1195	
-3307	-15724	36	-2333	-2272	-15701	
-3307	2964	36	-15645	-2272	1025	
-3307	2964	36	-15645	-15840	1195	
-3307	2964	-15836	-2333	-2272	1195	
-3309	2967	38	-2559	-2274	1195	
-3309	2967	38	-2338	-2274	1195	
-3309	2967	38	-2338	-2274	1195	
-3309	2967	38	-2338	-2274	1195	
-3309	2967	38	-2338	-2274	1195	
-3309	2967	38	-2338	-2274	1195	
-3322	2975	38	-2348	-2284	1195	
-3350	2985	38	-2367	-2304	1195	
-3384	2993	36	-2390	-2328	1195	
-3415	2996	33	-2412	-2349	1195	
-3449	2998	1	-2436	-2373	-15701	
-15768	3001	30	-2458	-2395	1195	
-3516	3002	-15842	-2482	-2420	1195	
-3523	3002	30	-2486	-2425	1195	
-3523	3002	30	-2486	-2425	-15701	
-3523	3002	30	-2486	-2425	1195	
-3523	3002	30	-2486	-2425	1195	
-3523	3001	31	-2486	-2426	1195	
-3542	3011	39	-2498	-2440	1195	
-3564	3029	48	-2514	-2457	1195	
