Mot1	Mot2	Mot3	Mot4	Mot5	Mot6	Tsample=3ms
11147	220	-6008	3456	3267	1	
11167	221	-6008	3456	3267	1	
11187	221	-6008	3456	3267	1	
11205	221	-6008	3456	3267	1	
11222	221	-6008	3456	3267	1	
11244	221	-6008	3456	3267	1	
11263	221	-6008	3456	3267	1	
11279	221	-6008	3456	3267	1	
11300	221	-6008	3456	3267	1	
11323	221	-6008	3456	3267	1	
11341	221	-6008	3456	3267	1	
11362	221	-6008	3456	3267	1	
11380	221	-6008	3456	3267	1	
11397	221	-6008	3456	3267	1	
11414	221	-6008	3456	3267	1	
11434	221	-6008	3456	3267	1	
11453	221	-6008	3456	3267	1	
11472	221	-6008	3456	3267	1	
11490	221	-6008	3456	3267	1	
11508	221	-6008	3456	3267	1	
11527	221	-6008	3456	3267	1	
11549	221	-6008	3456	3267	1	
11568	221	-6008	3456	3267	1	
11590	221	-6008	3456	3267	1	
11611	221	-6008	3456	3267	1	
11634	221	-6008	3329	3267	1	
11655	221	-6008	3456	3267	1	
11673	221	-6008	3456	3267	1	
11690	221	-6008	3456	3267	1	
11709	221	-6008	3456	3267	1	
11727	221	-6008	3456	3267	1	
11749	221	-6008	3456	3267	1	
11773	221	-6008	3456	3267	1	
11796	221	-6008	3456	3267	1	
11816	221	-6008	3456	3267	1	
11835	221	-6008	3456	3267	1	
11855	221	-6008	3456	3267	1	
11874	221	-6008	3456	3267	1	
11897	221	-6008	3456	3267	1	
11914	221	-6008	3456	3267	1	
11933	221	-6008	3456	3267	1	
11951	221	-6008	3456	3267	1	
11974	221	-6008	3456	3267	1	
11991	221	-6008	3456	3267	1	
12012	221	-6008	3456	3267	1	
12034	1	-6008	3456	3267	1	
12053	221	-6008	3456	3267	1	
12076	221	-6008	3456	3267	1	
12094	221	-6143	3456	3267	1	
12115	221	-6008	3456	3073	1	
12132	221	-6008	3456	3267	1	
12154	221	-6008	3456	3267	1	
12173	221	-6008	3456	3267	1	
12191	221	-6008	3456	3267	1	
12212	221	-6143	3456	3267	1	
12234	221	-6008	3456	3267	1	
12256	221	-6008	3456	3267	1	
12279	221	-6008	3456	3267	1	
12296	221	-6008	3456	3267	1	
12315	221	-6008	3456	3267	1	
12333	221	-6008	3456	3267	1	
12354	221	-6008	3456	3267	1	
12374	221	-6008	3456	3267	1	
12394	221	-6008	3456	3267	1	
12417	221	-6008	3456	3267	1	
12437	221	-6008	3456	3267	1	
12460	221	-6008	3456	3267	1	
12491	221	-6008	3457	3267	1	
12519	221	-6008	3459	3267	1	
12551	221	-6008	3461	3267	1	
12579	221	-6008	3461	3267	1	
12611	221	-6008	3461	3267	1	
12636	221	-6008	3461	3267	1	
12668	221	-6008	3461	3267	1	
12699	221	-6008	3461	3267	1	
12730	221	-6008	3461	3267	1	
12763	221	-6008	3461	3267	1	
12791	221	-6008	3461	3267	1	
12819	221	-6008	3461	3267	1	
12847	221	-6008	3461	3267	1	
12876	221	-6008	3461	3267	1	
12898	221	-6008	3461	3267	1	
12920	221	-6008	3461	3267	1	
12944	221	-6008	3461	3267	1	
12967	221	-6008	3461	3267	1	
12988	221	-6008	3462	3267	1	
13006	221	-6008	3462	3267	1	
13025	221	-6008	3462	3267	1	
13043	221	-6008	3462	3267	1	
13062	221	-6008	3462	3267	1	
13085	221	-6008	3463	3267	1	
13108	1	-6008	3463	3267	1	
13126	221	-6008	3464	3267	1	
13144	221	-6008	3464	3267	1	
13161	221	-6008	3464	3267	1	
13182	221	-6008	3464	3267	1	
13204	221	-6008	3464	3267	1	
13224	-15651	-6008	3464	3267	1	
13248	221	-6008	3464	3267	1	
13269	221	-6008	3465	3267	1	
13289	221	-6008	3465	3267	1	
13308	221	-15736	3465	3267	1	
13325	221	-6008	3465	3267	1	
13347	221	-6008	3465	3267	1	
13370	221	-6008	3465	3267	-15871	
13389	221	-6008	3465	3267	1	
13407	221	-6008	3465	3267	1	
13429	221	-6008	3465	3267	1	
13450	221	-6008	3465	3267	1	
13469	221	-6008	3465	3267	1	
13489	221	-6008	3465	3267	1	
13506	221	-6008	3465	3267	1	
13530	221	-6008	3465	3267	1	
13553	221	-6008	3465	3267	1	
13576	221	-6008	3465	3267	1	
13596	221	-6008	3465	3267	1	
13613	221	-6008	3465	3267	1	
13632	221	-6008	3465	3267	1	
13652	221	-6008	3465	3267	1	
13669	221	-6008	3465	3267	1	
13693	221	-6008	3465	3267	1	
13716	221	-6008	3465	3267	1	
13737	221	-6008	3465	3267	1	
13758	221	-6008	3465	3267	1	
13780	221	-6008	3465	3267	1	
13797	221	-6008	3465	3267	1	
13817	221	-6008	3465	3267	1	
13837	221	-6008	3465	3267	1	
13857	221	-6008	3465	3267	1	
13876	221	-6008	3465	3267	1	
13894	221	-6008	3465	3073	1	
13913	221	-6008	3465	3267	1	
13934	221	-6008	3465	3267	1	
13952	221	-6008	3465	3267	1	
13975	221	-6008	3465	3267	1	
13993	221	-6008	3465	3267	1	
14012	221	-6008	3465	3267	1	
14033	221	-6008	3465	3267	1	
14053	221	-6008	3465	3267	1	
14072	221	-6008	3465	3267	1	
14094	221	-6008	3465	3267	1	
14114	221	-6008	3465	3267	1	
14135	221	-6008	3465	3267	1	
14157	221	-6008	3465	3267	1	
14179	221	-6008	3465	3267	1	
14201	221	-6008	3465	3267	1	
14222	221	-6008	3465	3267	1	
14243	221	-6008	3465	3267	1	
14263	221	-6008	3465	3267	1	
14286	221	-6008	3465	3267	1	
14310	221	-6008	3465	3267	1	
14329	221	-6008	3465	3267	1	
14351	221	-6008	3465	3267	1	
14370	221	-6008	3465	3267	1	
14390	221	-6008	3465	3267	1	
14411	221	-6008	3465	3267	1	
14434	221	-6008	3465	3267	1	
14453	221	-6008	3465	3267	1	
14475	221	-6008	3465	3267	1	
14498	221	-6008	3465	3267	1	
14515	221	-6008	3465	3267	1	
14532	221	-6008	3465	3267	1	
14551	221	-6008	3465	3267	1	
14569	221	-6008	3465	3267	1	
14592	221	-6008	3465	3267	1	
14614	221	-6008	3465	3267	1	
14637	221	-6008	3465	3267	1	
14659	221	-6008	3465	3267	1	
14678	221	-6008	3465	3267	1	
14698	221	-6008	3465	3267	1	
14715	221	-6008	3465	3267	1	
14734	221	-6008	3465	3267	1	
14755	221	-6008	3465	3267	1	
14775	221	-6008	3465	3267	1	
14793	221	-6008	3465	3267	1	
14808	221	-6008	3465	3267	1	
14827	221	-6008	3465	3267	1	
14849	221	-6008	3465	3267	1	
14869	221	-6008	3465	3267	1	
14890	221	-6008	3465	3267	1	
14910	221	-6008	3465	3267	1	
14930	221	-6008	3465	3267	1	
14953	221	-6008	3465	3267	1	
14975	221	-6008	3465	3267	1	
14993	221	-6008	3465	3267	1	
15014	221	-6008	3465	3267	1	
15033	221	-6008	3465	-15677	1	
15053	221	-6008	3465	3267	1	
15072	221	-6008	3465	3267	1	
